epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,691.092,0.47913,0.64956,1.11906,0.92443,0.82149,0.89813,0.76889,0.68383,0.76972,1.01286,0.00144145,0.00144145,0.00144145
43,707.309,0.46075,0.68378,1.09643,0.84206,0.85384,0.89188,0.70018,0.7329,0.86122,1.08956,0.00143595,0.00143595,0.00143595
44,722.177,0.48311,0.74977,1.12014,0.85574,0.75044,0.82921,0.65108,0.81787,1.00447,1.17182,0.00143045,0.00143045,0.00143045
45,738.447,0.51888,0.74556,1.12906,0.93282,0.88991,0.92008,0.75501,0.64893,0.66719,0.9724,0.00142495,0.00142495,0.00142495
46,754.533,0.5018,0.70234,1.11021,0.85088,0.76974,0.87584,0.70798,0.80764,0.98219,1.15485,0.00141945,0.00141945,0.00141945
47,770.741,0.50113,0.7363,1.1356,0.91454,0.85401,0.90147,0.7737,0.63557,0.79122,0.94215,0.00141395,0.00141395,0.00141395
48,786.95,0.47305,0.68894,1.09442,0.93618,0.87131,0.92171,0.81107,0.60568,0.62074,0.88015,0.00140845,0.00140845,0.00140845
49,803.082,0.4641,0.66566,1.1057,0.91568,0.84234,0.90341,0.74194,0.74417,0.78824,1.09198,0.00140295,0.00140295,0.00140295
50,819.23,0.46926,0.63249,1.09852,0.97315,0.83947,0.9276,0.80095,0.58662,0.72829,0.88973,0.00139745,0.00139745,0.00139745
51,835.443,0.48463,0.65614,1.1039,0.88326,0.90702,0.91853,0.7605,0.65306,0.76116,0.95965,0.00139195,0.00139195,0.00139195
52,851.715,0.43345,0.63157,1.08656,0.91224,0.897,0.91984,0.70964,0.78547,0.86901,1.14748,0.00138644,0.00138644,0.00138644
53,866.41,0.48413,0.69264,1.11591,0.84663,0.7866,0.86567,0.69504,0.64721,0.83884,0.97305,0.00138094,0.00138094,0.00138094
54,882.615,0.44976,0.64248,1.10326,0.90338,0.88904,0.93764,0.78593,0.63421,0.71119,0.9567,0.00137544,0.00137544,0.00137544
55,4219.43,0.44575,0.57223,1.0894,0.9282,0.87727,0.92646,0.79838,0.60205,0.67217,0.91662,0.00136994,0.00136994,0.00136994
56,4234.02,0.44118,0.64351,1.08093,0.93164,0.89865,0.92765,0.79919,0.62599,0.6972,0.90809,0.00136444,0.00136444,0.00136444
57,4248.19,0.46479,0.67557,1.11129,0.96697,0.89544,0.94678,0.79773,0.64158,0.6939,0.9377,0.00135894,0.00135894,0.00135894
58,4262.29,0.46652,0.66499,1.09921,0.95026,0.86152,0.92194,0.79206,0.57377,0.6351,0.85645,0.00135344,0.00135344,0.00135344
59,4276.47,0.47177,0.64405,1.09356,0.94305,0.85614,0.92983,0.83299,0.49927,0.57952,0.78383,0.00134794,0.00134794,0.00134794
60,4290.75,0.45595,0.61911,1.09206,0.9487,0.9306,0.95349,0.8432,0.52945,0.56427,0.80841,0.00134244,0.00134244,0.00134244
61,4304.98,0.43756,0.61595,1.09713,0.78037,0.82165,0.87351,0.6813,0.82441,0.88939,1.12586,0.00133693,0.00133693,0.00133693
62,4319.32,0.45379,0.6192,1.09125,0.94384,0.86753,0.92104,0.80406,0.58084,0.65343,0.8629,0.00133143,0.00133143,0.00133143
63,4333.54,0.42818,0.59302,1.08028,0.96329,0.89145,0.93897,0.80941,0.59101,0.61978,0.86587,0.00132593,0.00132593,0.00132593
64,4347.81,0.4813,0.60819,1.09835,0.95455,0.89825,0.93131,0.78078,0.62917,0.65456,0.9042,0.00132043,0.00132043,0.00132043
65,4361.38,0.45251,0.60404,1.07867,0.95958,0.8695,0.92194,0.80943,0.61421,0.63128,0.89087,0.00131493,0.00131493,0.00131493
66,4375.52,0.47385,0.60988,1.09244,0.94776,0.85283,0.92912,0.80112,0.59749,0.62756,0.85905,0.00130943,0.00130943,0.00130943
67,4389.79,0.44286,0.58585,1.10233,0.96493,0.85803,0.93003,0.82066,0.55795,0.67083,0.84656,0.00130393,0.00130393,0.00130393
68,4404.12,0.42379,0.57635,1.07081,0.94103,0.87069,0.93422,0.8076,0.60731,0.67236,0.86979,0.00129843,0.00129843,0.00129843
69,4418.56,0.41244,0.58165,1.06659,0.94586,0.86404,0.93123,0.79617,0.65761,0.68262,0.98227,0.00129293,0.00129293,0.00129293
70,4432.94,0.44132,0.5859,1.08828,0.88892,0.87739,0.91761,0.75411,0.68486,0.71631,1.02166,0.00128742,0.00128742,0.00128742
71,4447.2,0.42377,0.5601,1.07843,0.87017,0.87745,0.92592,0.78689,0.63941,0.71002,0.95684,0.00128192,0.00128192,0.00128192
72,4461.46,0.44764,0.59389,1.09715,0.97304,0.89031,0.9414,0.84815,0.48091,0.56473,0.75828,0.00127642,0.00127642,0.00127642
73,4475.85,0.41986,0.58733,1.06913,0.94375,0.91447,0.93701,0.81822,0.56338,0.59753,0.8496,0.00127092,0.00127092,0.00127092
74,4490.12,0.45473,0.6336,1.0922,0.92658,0.87281,0.9227,0.82552,0.58542,0.70294,0.85149,0.00126542,0.00126542,0.00126542
75,4503.06,0.42781,0.56358,1.07966,0.97098,0.89781,0.93152,0.84266,0.53974,0.62427,0.8214,0.00125992,0.00125992,0.00125992
76,4517.37,0.48119,0.59205,1.12222,0.91836,0.80155,0.90916,0.78262,0.61646,0.74136,0.90452,0.00125442,0.00125442,0.00125442
77,4531.59,0.44849,0.55771,1.08095,0.94258,0.89142,0.92139,0.83739,0.51949,0.66908,0.81592,0.00124892,0.00124892,0.00124892
78,4545.92,0.42824,0.55372,1.07677,0.89775,0.87105,0.91402,0.81251,0.57109,0.7007,0.87671,0.00124342,0.00124342,0.00124342
79,4560.22,0.40301,0.51395,1.06,0.86729,0.83757,0.91245,0.80078,0.583,0.81205,0.90144,0.00123791,0.00123791,0.00123791
80,4574.73,0.42186,0.55367,1.07204,0.95165,0.89598,0.93154,0.80573,0.57778,0.66193,0.87725,0.00123241,0.00123241,0.00123241
81,4589.2,0.42428,0.54834,1.07923,0.98015,0.902,0.9397,0.83447,0.53747,0.57896,0.83009,0.00122691,0.00122691,0.00122691
82,4603.58,0.42492,0.51293,1.06906,0.96343,0.90176,0.92943,0.81551,0.58753,0.72523,0.88392,0.00122141,0.00122141,0.00122141
83,4618.1,0.4194,0.57301,1.07439,0.97401,0.84605,0.93735,0.80506,0.61078,0.64464,0.92769,0.00121591,0.00121591,0.00121591
84,4632.35,0.41675,0.56388,1.05563,0.92174,0.78734,0.90854,0.79634,0.58947,0.74903,0.87151,0.00121041,0.00121041,0.00121041
85,4646.21,0.41183,0.54593,1.05856,0.95568,0.87403,0.93948,0.8362,0.54247,0.58405,0.81861,0.00120491,0.00120491,0.00120491
86,4660.35,0.44093,0.55848,1.07258,0.96685,0.90658,0.93395,0.82315,0.54842,0.60564,0.83874,0.00119941,0.00119941,0.00119941
87,4674.82,0.39752,0.5299,1.04632,0.95688,0.91447,0.94631,0.83137,0.5324,0.61198,0.83629,0.00119391,0.00119391,0.00119391
88,4689.16,0.40856,0.51609,1.06549,0.97054,0.88947,0.94074,0.82617,0.55458,0.63885,0.83491,0.0011884,0.0011884,0.0011884
89,4703.57,0.45062,0.61483,1.10116,1,0.90274,0.94784,0.85077,0.52235,0.53778,0.80224,0.0011829,0.0011829,0.0011829
90,4717.85,0.4086,0.54096,1.05019,0.97611,0.89234,0.94353,0.84229,0.53836,0.57399,0.7932,0.0011774,0.0011774,0.0011774
91,4732.27,0.40674,0.50878,1.06376,0.95629,0.90526,0.95033,0.83705,0.55161,0.53598,0.81045,0.0011719,0.0011719,0.0011719
92,4746.68,0.37003,0.49257,1.03098,0.95841,0.84781,0.951,0.84553,0.52057,0.49072,0.77053,0.0011664,0.0011664,0.0011664
93,4760.89,0.41825,0.54297,1.07052,0.95217,0.88535,0.93925,0.85217,0.5158,0.56085,0.7819,0.0011609,0.0011609,0.0011609
94,4775.32,0.38685,0.49799,1.0652,0.93812,0.88544,0.92875,0.81998,0.54542,0.6252,0.80749,0.0011554,0.0011554,0.0011554
95,4788.24,0.41784,0.5614,1.061,0.94671,0.89182,0.93815,0.84271,0.49613,0.57204,0.79206,0.0011499,0.0011499,0.0011499
96,4802.66,0.39341,0.52217,1.03852,0.90797,0.83897,0.9239,0.79921,0.59093,0.63285,0.86406,0.0011444,0.0011444,0.0011444
97,4817.01,0.39225,0.49631,1.04786,0.96599,0.90658,0.93921,0.83414,0.55954,0.56514,0.82365,0.00113889,0.00113889,0.00113889
98,4831.33,0.4019,0.51791,1.04897,0.97594,0.86625,0.92463,0.81144,0.57584,0.63764,0.87409,0.00113339,0.00113339,0.00113339
99,4846.13,0.36918,0.48771,1.0368,0.94076,0.90614,0.93893,0.85073,0.50193,0.60181,0.76012,0.00112789,0.00112789,0.00112789
100,4860.77,0.38417,0.49791,1.06127,0.96079,0.85992,0.92831,0.81442,0.56741,0.64394,0.85977,0.00112239,0.00112239,0.00112239
101,4875.24,0.37419,0.46659,1.03185,0.97824,0.87193,0.92419,0.82428,0.49457,0.55994,0.75379,0.00111689,0.00111689,0.00111689
102,4889.62,0.40572,0.49965,1.05818,0.97681,0.87887,0.93238,0.84449,0.48348,0.56024,0.77796,0.00111139,0.00111139,0.00111139
103,4909,0.40891,0.50986,1.0737,0.93433,0.88672,0.93456,0.8315,0.53196,0.55669,0.81825,0.00110589,0.00110589,0.00110589
104,4923.55,0.38108,0.50838,1.03964,0.91696,0.89137,0.93264,0.83141,0.50874,0.5314,0.76358,0.00110039,0.00110039,0.00110039
105,4937.95,0.39369,0.53708,1.04976,0.95281,0.88947,0.94042,0.817,0.55112,0.5755,0.82662,0.00109489,0.00109489,0.00109489
106,4952.39,0.38954,0.53752,1.04771,0.93122,0.90114,0.93797,0.82656,0.57825,0.59224,0.89263,0.00108938,0.00108938,0.00108938
107,4966.89,0.4141,0.50751,1.07707,0.96324,0.89416,0.93691,0.85572,0.46046,0.53182,0.72505,0.00108388,0.00108388,0.00108388
108,4981.42,0.39989,0.52104,1.0632,0.9544,0.89527,0.93735,0.84061,0.51936,0.6165,0.79005,0.00107838,0.00107838,0.00107838
109,4995.77,0.3716,0.48834,1.03419,0.9375,0.88953,0.94115,0.83651,0.52057,0.63348,0.78618,0.00107288,0.00107288,0.00107288
110,5010.15,0.36987,0.51769,1.04972,0.95788,0.92368,0.94312,0.84186,0.53756,0.6028,0.83659,0.00106738,0.00106738,0.00106738
111,5024.57,0.38938,0.47941,1.04994,0.94085,0.88562,0.93674,0.80546,0.6169,0.61639,0.89305,0.00106188,0.00106188,0.00106188
112,5039.02,0.36936,0.43019,1.02408,0.93531,0.91104,0.93546,0.81665,0.58918,0.59172,0.85897,0.00105638,0.00105638,0.00105638
113,5053.48,0.39344,0.46002,1.05115,0.97709,0.8807,0.94484,0.84012,0.51338,0.54252,0.78384,0.00105088,0.00105088,0.00105088
114,5066.5,0.37427,0.474,1.03378,0.9725,0.91294,0.94243,0.84196,0.53269,0.52706,0.79832,0.00104538,0.00104538,0.00104538
115,5080.87,0.3707,0.46247,1.01923,0.96192,0.8886,0.91825,0.80363,0.58085,0.56345,0.87626,0.00103987,0.00103987,0.00103987
116,5095.25,0.37288,0.47949,1.03352,0.9303,0.87982,0.90816,0.80109,0.60935,0.64569,0.89807,0.00103437,0.00103437,0.00103437
117,5109.8,0.37579,0.50291,1.04675,0.96247,0.89539,0.92551,0.82203,0.5745,0.6287,0.87952,0.00102887,0.00102887,0.00102887
118,5124.26,0.37022,0.47773,1.03863,0.93877,0.89288,0.92104,0.79496,0.56212,0.63583,0.84482,0.00102337,0.00102337,0.00102337
119,5138.69,0.3526,0.45788,1.02628,0.94733,0.90953,0.9295,0.82861,0.53236,0.61162,0.80653,0.00101787,0.00101787,0.00101787
